genres,id,overview,title,vote_average,vote_count
"[{'id': 15, 'name': 'Comedy'}, {'id': 9, 'name': 'Drama'}]",1,"The film explores life in Paris and the clash of the representatives of two different social classes. The main characters are Philippe, the rich man who is also quadriplegic, and his live-in caregiver Driss, a young man of African origin from the poor district of the city. The two men are absolutely different, yet they grow to have a great understanding of each other. They have lived very different lives, but they become good friends in the end. Out of many potential caregivers that come to the interview, Philippe chooses a simple guy, explaining to his friends that this is what he wanted the guy who would not pity him.",Intouchables,8.8,2137828
"[{'id': 7, 'name': 'Action'}, {'id': 9, 'name': 'Drama'}, {'id': 17, 'name': 'Fiction'}, {'id': 12, 'name': 'Adventure'}]",2,"The story focuses on an epic conflict on Pandora, an inhabited Earth-sized moon of Polyphemus, one of three gas giants orbiting Alpha Centauri A. On Pandora, human colonists and the sentient humanoid indigenous inhabitants of Pandora, the Na'vi, engage in a war over the planet's resources (such as unobtanium) and the latter's continued existence. The film's title refers to the remotely controlled, genetically engineered human-Na'vi bodies used by the film's human characters to interact with the natives. The protagonist, Jake Sully, is a paraplegic young man who travels to Pandora from Earth. Assisting the corporate monolith known as the Resources Development Administration (RDA), he is given an avatar which he uses to interact with the story's heroine, Neytiri, as well as her clan known as the Omatikaya.",Avatar,8.0,1088858
"[{'id': 2, 'name': 'Thriller'}, {'id': 7, 'name': 'Action'}, {'id': 17, 'name': 'Fiction'}]",3,"A cyborg assassin called The Terminator is sent back through time to 1984 to kill the seemingly innocent Sarah Connor - a woman whose unborn son will lead the human race to victory in a bitter future war with a race of machines. If the Terminator succeeds, mankind is doomed. Sarah's only hope is a soldier from that post-apocalyptic war, who has chased the Terminator back through time. The future of the human race depends on which one finds her first.",The Terminator,8.0,336344
"[{'id': 14, 'name': 'Fantasy'}, {'id': 7, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 15, 'name': 'Comedy'}]",4,"Having exhausted his luck, Captain Jack Sparrow discovers that he is being hunted by his old enemy, the terrible Captain Salazar and his dead. They have just escaped from the Devil's Triangle and intend to destroy all the pirates, including Jack. Only a powerful artifact the trident of Poseidon, which grants its owner full control over the seas, will help to escape.",Pirates of the Caribbean: Dead Men Tell No Tales,6.7,397863
"[{'id': 3, 'name': 'Crime'}, {'id': 2, 'name': 'Thriller'}, {'id': 9, 'name': 'Drama'}]",5,"Gotham, the 1980s. The economy is in decline. Businesses are going bankrupt, people are losing their jobs, and the gap between rich and poor has grown to apocalyptic proportions. Because of the scavengers' strike, mountains of garbage are growing on the streets, and giant rats are bred in the doorways. The city is going crazy. Arthur Fleck cares little about all this. He is a small man, and he has a lot of problems of his own: an incapacitated mother, hopeless depression, a whole set of mental disorders and, in addition, bouts of uncontrollable laughter. The only thing that brightens up his miserable existence is dreams of a comedian's career and the smile of a pretty neighbor. But it will not work to sit out in his own world any longer: fate begins to beat Arthur with a special frenzy� Under these blows, the fractured consciousness finally disintegrates, and a quiet sick person turns into something sinister.",Joker,8.0,612958
"[{'id': 18, 'name': 'Biography'}, {'id': 11, 'name': 'Family'}, {'id': 9, 'name': 'Drama'}]",6,"Parker Wilson, a university professor, finds a puppy at the train station one day. He takes him in for a while while he looks for the real owners. But no one came for him, and the puppy and Parker became attached to each other. They have a special tradition - Hachiko accompanies the owner to the train station every day, from where Parker sends him to work, and in the evening the dog meets him there. One day, the professor dies of a heart attack at work, but Hachiko, not waiting for her man that day, begins to come to the train station at the same time every day for nine years. Family members tried to take him home, but the dog returned to the meeting place with the owner.",Hachi: A Dog's Tale,8.4,594345
"[{'id': 3, 'name': 'Crime'}, {'id': 2, 'name': 'Thriller'}, {'id': 7, 'name': 'Action'}, {'id': 9, 'name': 'Drama'}, {'id': 17, 'name': 'Fiction'}]",7,"Batman raises the stakes in the war on crime. With the help of Lieutenant Jim Gordon and Prosecutor Harvey Dent, he intends to clear the streets of Gotham of crime. Cooperation turns out to be effective, but soon they will find themselves in the midst of chaos unleashed by a rising criminal genius known to the frightened townspeople as the Joker.",The Dark Knight,8.5,726149
"[{'id': 9, 'name': 'Drama'}, {'id': 8, 'name': 'Melodrama'}, {'id': 20, 'name': 'History'}, {'id': 2, 'name': 'Thriller'}]",8,"In the story, the famous Titanic leaves the harbor and sets sail. There are several thousand passengers on the ship, and among them the poor artist Jack and the daughter of an impoverished aristocrat Rosa suddenly find each other. They are destined to fall in love with each other, but their possible happiness is literally shattered: in a few days they will be separated by the collision of a liner with an iceberg.",Titanic,8.4,862265
"[{'id': 7, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 17, 'name': 'Fiction'}]",9,"Peter Parker is an ordinary schoolboy. One day, he went on an excursion with the class, where he was bitten by a strange mutant spider. After a while, the guy felt superhuman strength and dexterity in movement, and most importantly, the ability to climb walls and throw a steel web. He directs his abilities to protect the weak. So Peter becomes a real superhero named Spider-Man, who helps people and fights crime. But where there is a superhero, sooner or later a supervillain always shows up.",Spider-Man,7.7,526388
"[{'id': 7, 'name': 'Action'}, {'id': 17, 'name': 'Fiction'}]",10,"Thomas Anderson's life is divided into two parts: during the day he is the most ordinary office worker who gets scolded by his superiors, and at night he turns into a hacker named Neo, and there is no place on the network where he could not penetrate. But one day everything changes. Thomas learns the horrifying truth about reality.",The Matrix,8.5,732210
